,RF,pgm,pgi,gapC,zwf,rpe,WT_0_5,WT_0_7
b1603,15.69748055,12.0049374,17.89102941,17.54303096,16.71205242,9.995368543,16.2508215,27.74302558
b2284,14.97364875,11.09452474,12.60442283,13.31802019,12.75698986,10.7297785,19.7656321,10.69935782
b0180,13.46661074,12.72420783,13.82340003,17.79339297,14.75104853,14.81612036,19.16847586,18.68651323
b2288,13.83293138,12.85432784,14.01577483,18.45849132,20.80034207,11.3944702,16.47356135,10.26906985
b2185,11.71270178,19.67284636,15.25122723,14.82325674,16.37702883,7.377360096,28.57305574,27.7704239
b0471,11.8487805,15.11073024,16.77319642,18.3988636,14.60737046,8.602579322,18.88702928,21.60877745
b0882,14.74228773,12.83153527,13.29354292,10.80130349,12.16272209,24.40112844,9.451992106,6.594985578
b0605,14.43418684,10.4030696,11.40510712,20.02985803,15.76800022,13.0589389,8.562663702,16.2587539
b3510,14.59700472,21.21979049,15.18240012,9.454253144,12.92326281,14.77843917,15.35276949,7.175847178
b4245,12.01661081,18.68800342,13.16418713,10.87046505,3.935253229,1.029677359,26.95420646,40.39881777
b2609,13.15545416,12.50380338,14.36956355,13.333134,12.02431398,4.599317979,16.9496781,19.97217347
b2417,12.77974659,10.57235854,15.61712276,10.77542221,13.33800844,15.78149099,12.30715056,11.65333298
b0430,14.40870199,9.867486354,11.10748353,11.76939368,11.33369141,14.11635403,15.91863608,15.806912
b0924,12.40357662,16.44721923,12.94359578,14.43739584,27.56059437,15.65553907,10.15118714,9.46932965
b0146,17.02929647,16.50737105,5.906924015,7.89742684,11.67028802,26.30066725,4.25232825,4.388893099
b2113,10.51420323,11.43087302,10.60646157,14.23746567,13.40056161,14.49520681,10.60226609,11.31153932
b2779,11.65570557,9.696734333,9.837971076,9.688217281,10.50773839,16.87371489,20.77266169,24.00538111
b3336,16.84148859,17.84673814,8.836287648,10.77546956,15.69547029,31.65820764,7.368248731,5.047345227
b0429,14.72083192,9.484108262,10.10868712,10.59231272,7.422462065,12.76424991,12.34537615,14.76395724
